Iteration: , Time(ns)
0, 49709
1, 9708
2, 1791
3, 2458
4, 1458
5, 3542
6, 1333
7, 1584
8, 1333
9, 1375
10, 1958
11, 1542
12, 3000
13, 1250
14, 1250
15, 1416
16, 1375
17, 1500
18, 1292
19, 2916
20, 1500
21, 1375
22, 1458
23, 10708
24, 2458
25, 1333
26, 2834
27, 1583
28, 1208
29, 1542
30, 1416
31, 2458
32, 1333
33, 1333
34, 1375
35, 1333
36, 1250
37, 1416
38, 1291
39, 1333
40, 1250
41, 1417
42, 1291
43, 1375
44, 1334
45, 1417
46, 1208
47, 1292
48, 5458
49, 1500
50, 1500
51, 1417
52, 1333
53, 1292
54, 2584
55, 1416
56, 21417
57, 1625
58, 1417
59, 2084
60, 1458
61, 4459
62, 1417
63, 1375
64, 1292
65, 1250
66, 1750
67, 1417
68, 2875
69, 1542
70, 1292
71, 1458
72, 1667
73, 1209
74, 1292
75, 2875
76, 1250
77, 1250
78, 1292
79, 1458
80, 1292
81, 1584
82, 2917
83, 1500
84, 1250
85, 1458
86, 1291
87, 1459
88, 1333
89, 2917
90, 1458
91, 1458
92, 1333
93, 1250
94, 1291
95, 1708
96, 2875
97, 1416
98, 1333
99, 1333
100, 1208
101, 1292
102, 1250
103, 2459
104, 2166
105, 1417
106, 1250
107, 1208
108, 1167
109, 1375
110, 2542
111, 1416
112, 5291
113, 1459
114, 1250
115, 1334
116, 1208
117, 2708
118, 1292
119, 1334
120, 1416
121, 1333
122, 1250
123, 1333
124, 2583
125, 1250
126, 1375
127, 1417
128, 1417
129, 1208
130, 1291
131, 2792
132, 1291
133, 1208
134, 1667
135, 1500
136, 1292
137, 1709
138, 2542
139, 1250
140, 1292
141, 1208
142, 1250
143, 1250
144, 1208
145, 2459
146, 1208
147, 1250
148, 1375
149, 1458
150, 1291
151, 1500
152, 2459
153, 1375
154, 1334
155, 1292
156, 1250
157, 1292
158, 1250
159, 2792
160, 1292
161, 1333
162, 1500
163, 1250
164, 1291
165, 1333
166, 2375
167, 1583
168, 1333
169, 1375
170, 1250
171, 1375
172, 1291
173, 2541
174, 1250
175, 1166
176, 1458
177, 1292
178, 1167
179, 1292
180, 2500
181, 1417
182, 1209
183, 1375
184, 1208
185, 1333
186, 1291
187, 2541
188, 1375
189, 1458
190, 1167
191, 1334
192, 1500
193, 1208
194, 2750
195, 1291
196, 1250
197, 1291
198, 1291
199, 1334
200, 1208
201, 2875
202, 1292
203, 6875
204, 1125
205, 1291
206, 875
207, 1083
208, 2250
209, 1000
210, 958
211, 958
212, 917
213, 959
214, 833
215, 3083
216, 958
217, 875
218, 916
219, 1583
220, 875
221, 875
222, 2125
223, 1125
224, 4500
225, 1041
226, 1208
227, 1000
228, 1250
229, 2542
230, 875
231, 1042
232, 1000
233, 1125
234, 875
235, 959
236, 1916
237, 1000
238, 875
239, 833
240, 833
241, 1083
242, 875
243, 2000
244, 875
245, 1083
246, 1333
247, 1083
248, 1000
249, 1000
250, 2375
251, 1000
252, 917
253, 958
254, 916
255, 1083
256, 875
257, 2125
258, 916
259, 1292
260, 917
261, 875
262, 1083
263, 916
264, 1917
265, 958
266, 833
267, 875
268, 875
269, 833
270, 916
271, 6167
272, 1084
273, 1000
274, 917
275, 1292
276, 917
277, 2000
278, 916
279, 1000
280, 3959
281, 1375
282, 834
283, 917
284, 2084
285, 875
286, 916
287, 916
288, 916
289, 916
290, 916
291, 2292
292, 916
293, 1000
294, 916
295, 1000
296, 875
297, 1000
298, 2042
299, 1167
300, 1000
301, 917
302, 875
303, 1875
304, 916
305, 2000
306, 875
307, 1041
308, 916
309, 875
310, 833
311, 1125
312, 2000
313, 917
314, 875
315, 1000
316, 958
317, 1000
318, 833
319, 1875
320, 833
321, 1125
322, 791
323, 1042
324, 875
325, 916
326, 2125
327, 875
328, 834
329, 917
330, 1000
331, 1084
332, 917
333, 2042
334, 917
335, 917
336, 9125
337, 1000
338, 833
339, 1041
340, 2125
341, 875
342, 875
343, 958
344, 875
345, 916
346, 875
347, 2083
348, 916
349, 916
350, 833
351, 1083
352, 875
353, 958
354, 875
355, 917
356, 833
357, 1000
358, 2875
359, 1000
360, 1041
361, 1916
362, 875
363, 1000
364, 833
365, 958
366, 834
367, 1000
368, 959
369, 1166
370, 917
371, 875
372, 875
373, 875
374, 833
375, 958
376, 917
377, 1000
378, 875
379, 1000
380, 875
381, 875
382, 833
383, 2333
384, 917
385, 1542
386, 875
387, 916
388, 1958
389, 875
390, 2000
391, 958
392, 4875
393, 1042
394, 917
395, 1125
396, 791
397, 2000
398, 875
399, 958
400, 917
401, 875
402, 875
403, 1042
404, 1042
405, 1000
406, 833
407, 1084
408, 833
409, 916
410, 916
411, 917
412, 1250
413, 916
414, 875
415, 1042
416, 958
417, 1250
418, 1875
419, 917
420, 959
421, 875
422, 875
423, 959
424, 833
425, 2125
426, 875
427, 1000
428, 917
429, 875
430, 834
431, 875
432, 2167
433, 958
434, 916
435, 916
436, 875
437, 1000
438, 917
439, 2084
440, 917
441, 833
