Iteration: , Time(ns)
0, 13292
1, 1375
2, 1167
3, 1333
4, 833
5, 958
6, 834
7, 1125
8, 3500
9, 917
10, 959
11, 1125
12, 875
13, 1084
14, 1042
15, 4375
16, 834
17, 1167
18, 875
19, 1042
20, 1625
21, 1291
22, 959
23, 2375
24, 1709
25, 1667
26, 1000
27, 875
28, 833
29, 958
30, 875
31, 1042
32, 1250
33, 1209
34, 1000
35, 2000
36, 834
37, 875
38, 916
39, 1000
40, 875
41, 1083
42, 1208
43, 1083
44, 959
45, 834
46, 1125
47, 1000
48, 1000
49, 834
50, 833
51, 916
52, 875
53, 9584
54, 875
55, 875
56, 1125
57, 958
58, 833
59, 917
60, 917
61, 875
62, 958
63, 916
64, 916
65, 1208
66, 791
67, 958
68, 875
69, 916
70, 916
71, 958
72, 917
73, 958
74, 833
75, 1041
76, 916
77, 917
78, 1000
79, 958
80, 875
81, 1000
82, 875
83, 959
84, 833
85, 1041
86, 958
87, 958
88, 1042
89, 917
90, 958
91, 875
92, 1000
93, 875
94, 875
95, 958
96, 833
97, 1042
98, 875
99, 1000
100, 1000
101, 1125
102, 958
103, 875
104, 1083
105, 958
106, 16584
107, 1042
108, 833
109, 917
110, 875
111, 958
112, 917
113, 958
114, 875
115, 875
116, 833
117, 958
118, 1459
119, 1250
120, 834
121, 1042
122, 917
123, 1083
124, 1000
125, 917
126, 875
127, 1166
128, 833
129, 1125
130, 750
131, 1042
132, 1000
133, 834
134, 875
135, 917
136, 834
137, 875
138, 916
139, 958
140, 875
141, 959
142, 1042
143, 1709
144, 833
145, 875
146, 1000
147, 1000
148, 833
149, 1041
150, 833
151, 1000
152, 833
153, 834
154, 833
155, 1041
156, 916
157, 1000
158, 875
159, 4542
160, 917
161, 834
162, 958
163, 1042
164, 834
165, 875
166, 875
167, 1042
168, 959
169, 917
170, 917
171, 875
172, 917
173, 1000
174, 833
175, 1042
176, 1000
177, 958
178, 1041
179, 916
180, 916
181, 875
182, 875
183, 916
184, 1000
185, 958
186, 916
187, 1083
188, 917
189, 916
190, 917
191, 1000
192, 875
193, 1000
194, 917
195, 1208
196, 916
197, 916
198, 833
199, 959
200, 958
201, 875
202, 875
203, 875
204, 917
205, 1042
206, 875
207, 1083
208, 917
209, 875
210, 917
211, 833
212, 1583
213, 1125
214, 1250
215, 959
216, 875
217, 791
218, 916
219, 958
220, 875
221, 1041
222, 875
223, 1125
224, 1167
225, 1209
226, 875
227, 1166
228, 1000
229, 833
230, 3791
231, 2417
232, 1083
233, 1000
234, 875
235, 917
236, 875
237, 958
238, 916
239, 958
240, 875
241, 1292
242, 917
243, 917
244, 959
245, 875
246, 916
247, 1000
248, 834
249, 1042
250, 1167
251, 959
252, 958
253, 875
254, 875
255, 875
256, 833
257, 1084
258, 833
259, 1000
260, 958
261, 959
262, 833
263, 1333
264, 833
265, 3750
266, 916
267, 1458
268, 875
269, 1041
270, 1250
271, 1125
272, 916
273, 1000
274, 917
275, 959
276, 875
277, 1000
278, 875
279, 1000
280, 917
281, 1042
282, 959
283, 1125
284, 834
285, 5292
286, 875
287, 1250
288, 1084
289, 1250
290, 875
291, 1167
292, 875
293, 834
294, 875
295, 959
296, 1000
297, 958
298, 916
299, 1000
300, 833
301, 958
302, 917
303, 875
304, 875
305, 958
306, 875
307, 958
308, 875
309, 875
310, 834
311, 1125
312, 917
313, 875
314, 792
315, 1042
316, 917
317, 8042
318, 916
319, 875
320, 1250
321, 1083
322, 834
323, 1000
324, 958
325, 875
326, 1042
327, 917
328, 1000
329, 875
330, 791
331, 833
332, 834
333, 1042
334, 958
335, 1083
336, 834
337, 1000
338, 1084
339, 1000
340, 959
341, 1083
342, 916
343, 1041
344, 916
345, 958
346, 1041
347, 1000
348, 1000
349, 917
350, 916
351, 1375
352, 916
353, 1000
354, 917
355, 1042
356, 875
357, 1000
358, 917
359, 1375
360, 833
361, 959
362, 833
363, 1167
364, 875
365, 916
366, 875
367, 1000
368, 833
369, 4750
370, 916
371, 1083
372, 1292
373, 958
374, 875
375, 1000
376, 833
377, 1000
378, 875
379, 917
380, 958
381, 875
382, 875
383, 875
384, 1083
385, 1000
386, 1000
387, 1000
388, 875
389, 1333
390, 833
391, 1000
392, 875
393, 1000
394, 916
395, 1125
396, 959
397, 1000
398, 875
399, 916
400, 1166
401, 1041
402, 1166
403, 958
404, 917
405, 1042
406, 834
407, 1292
408, 917
409, 916
410, 833
411, 1000
412, 916
413, 1542
414, 917
415, 1000
416, 1125
417, 875
418, 875
419, 1083
420, 916
421, 958
422, 32417
423, 1042
424, 1084
425, 875
426, 875
427, 1000
428, 917
429, 959
430, 958
431, 1000
432, 875
433, 1125
434, 1000
435, 1084
436, 1417
437, 1458
438, 958
439, 1000
440, 916
441, 1250
442, 833
443, 1042
444, 1042
445, 875
446, 917
447, 875
448, 1083
449, 1084
450, 875
451, 916
452, 792
453, 917
454, 917
455, 1042
456, 917
