Iteration, Sorteringstid (ns)
1, 23375
201, 87000
401, 155292
601, 236625
801, 312625
1001, 386250
1201, 464792
1401, 528500
1601, 603333
1801, 674792
2001, 745708
2201, 849875
2401, 898250
2601, 1029500
2801, 1084791
3001, 1139375
3201, 1215625
3401, 1309958
3601, 1391584
3801, 1485708
4001, 1537708
4201, 1635833
4401, 1671292
4601, 1835041
4801, 1893500
5001, 1959917
5201, 1998209
5401, 2160625
5601, 2210875
5801, 2251917
6001, 2225875
6201, 2362334
6401, 2529500
6601, 2616833
6801, 2771583
7001, 2735500
7201, 2674875
7401, 2831958
7601, 2897209
7801, 3256416
8001, 3125583
8201, 3189375
8401, 3207833
8601, 3267541
8801, 3433542
9001, 3395666
9201, 3453125
9401, 3774834
9601, 3700041
9801, 3794042
10001, 3747500
10201, 3809416
10401, 3864875
10601, 4202083
10801, 4286541
11001, 4355375
11201, 4729959
11401, 4531583
11601, 4897458
11801, 4649667
12001, 4759375
12201, 4598583
12401, 4676709
12601, 4727542
12801, 4917042
13001, 4825917
13201, 4901708
13401, 5213000
13601, 5106917
13801, 5125542
14001, 5385834
14201, 5774541
14401, 5338792
14601, 5537625
14801, 5472959
15001, 5575291
15201, 5968667
15401, 5769792
15601, 5826958
15801, 5990125
16001, 6002750
16201, 6157500
16401, 6326291
16601, 6132875
16801, 6424417
17001, 6378958
17201, 6447000
17401, 8060250
17601, 6610917
17801, 6876916
18001, 6799792
18201, 6936416
18401, 7024417
18601, 6953167
18801, 7214166
19001, 7086208
19201, 7304458
19401, 7290916
19601, 7550708
19801, 7573500
20001, 7604583
20201, 7542125
20401, 7603166
20601, 7837875
20801, 7756750
21001, 8037958
21201, 8116292
21401, 12457292
21601, 8449958
21801, 8665250
22001, 8731875
22201, 8823375
22401, 10385500
22601, 8453125
22801, 8713209
23001, 8730500
23201, 8824667
23401, 8700875
23601, 9092708
23801, 8994333
24001, 9008167
24201, 9254667
24401, 9203208
24601, 9390542
24801, 9240750
25001, 9597458
25201, 9454542
25401, 9606667
25601, 9805583
25801, 9737875
26001, 10030708
26201, 12599834
26401, 9946083
26601, 10174333
26801, 10071833
27001, 10225250
27201, 10373291
27401, 10385333
27601, 10503958
27801, 10519917
28001, 10649167
28201, 10700875
28401, 10748166
28601, 10990250
28801, 12105250
29001, 12419542
29201, 12003375
29401, 11795250
29601, 11251291
29801, 11332750
