Iteration, Sorteringstid (ns)
1, 3000
201, 83959
401, 154666
601, 238792
801, 319833
1001, 381708
1201, 458167
1401, 527541
1601, 605125
1801, 688875
2001, 763166
2201, 862333
2401, 940000
2601, 1013125
2801, 1076041
3001, 1118416
3201, 1192625
3401, 1318667
3601, 1384125
3801, 1429917
4001, 1491833
4201, 1589041
4401, 1656375
4601, 1774208
4801, 1888000
5001, 1935708
5201, 1974833
5401, 2014458
5601, 2101834
5801, 2147167
6001, 2223916
6201, 2371208
6401, 2524167
6601, 2506792
6801, 2537375
7001, 2592917
7201, 2683792
7401, 2796208
7601, 3009208
7801, 3072750
8001, 2976958
8201, 3061666
8401, 3153625
8601, 3441667
8801, 3318250
9001, 3381375
9201, 3481625
9401, 3754833
9601, 3757584
9801, 3663666
10001, 3791542
10201, 3807834
10401, 4026417
10601, 4063083
10801, 4081833
11001, 4120125
11201, 4358750
11401, 4274083
11601, 4679625
11801, 4446417
12001, 4738500
12201, 4553917
12401, 4656375
12601, 4758375
12801, 4944292
13001, 4879875
13201, 4957542
13401, 5297625
13601, 5101459
13801, 5137375
14001, 5417542
14201, 5815959
14401, 5345792
14601, 5648916
14801, 5558750
15001, 5674500
15201, 5893167
15401, 5816750
15601, 5861125
15801, 6043208
16001, 5943917
16201, 6466500
16401, 6230958
16601, 6199625
16801, 6473583
17001, 6326459
17201, 6518500
17401, 7529292
17601, 6564750
17801, 6761666
18001, 6698541
18201, 6986958
18401, 6991292
18601, 6915250
18801, 7070125
19001, 7064792
19201, 7372791
19401, 7176542
19601, 7562833
19801, 7384916
20001, 7524375
20201, 7596375
20401, 7562833
20601, 8011583
20801, 7734625
21001, 7984666
21201, 8000333
21401, 50447708
21601, 8070500
21801, 8091667
22001, 8363583
22201, 8230250
22401, 8782000
22601, 8360708
22801, 8807208
23001, 8604500
23201, 9071375
23401, 9105625
23601, 9143667
23801, 9269959
24001, 8954875
24201, 9359416
24401, 9063625
24601, 9342042
24801, 9171250
25001, 9638542
25201, 9551000
25401, 9461583
25601, 9817666
25801, 9638792
26001, 10046000
26201, 10925459
26401, 9821500
26601, 10315167
26801, 9953959
27001, 10217916
27201, 10702084
27401, 10217833
27601, 10427167
27801, 10402625
28001, 10677708
28201, 10740959
28401, 10606750
28601, 10863583
28801, 10999542
29001, 10801000
29201, 11012167
29401, 11217542
29601, 15852583
29801, 14451333
