Iteration, Sorteringstid (ns)
1, 3125
201, 83417
401, 164459
601, 242041
801, 315042
1001, 410792
1201, 464292
1401, 547791
1601, 616458
1801, 688500
2001, 759416
2201, 830042
2401, 901750
2601, 988292
2801, 1073000
3001, 1114791
3201, 1189583
3401, 1297417
3601, 1368750
3801, 1445000
4001, 1548125
4201, 1716958
4401, 1685458
4601, 1709709
4801, 1780584
5001, 1851292
5201, 1962542
5401, 1994708
5601, 2124917
5801, 2230333
6001, 2279541
6201, 2296042
6401, 2463959
6601, 2448292
6801, 2508625
7001, 2663833
7201, 2796125
7401, 2771583
7601, 2869000
7801, 2962375
8001, 2972500
8201, 3164375
8401, 3130916
8601, 3215208
8801, 3258291
9001, 3426917
9201, 3516958
9401, 3711625
9601, 3663834
9801, 3734667
10001, 3947750
10201, 4072542
10401, 3946417
10601, 3918083
10801, 4092125
11001, 4214375
11201, 4163333
11401, 4239291
11601, 8776334
11801, 4426708
12001, 4510708
12201, 5092292
12401, 4884125
12601, 4678750
12801, 4845333
13001, 5154750
13201, 4993583
13401, 5012916
13601, 5338250
13801, 5219250
14001, 5250833
14201, 11985750
14401, 6392208
14601, 5741667
14801, 5547958
15001, 5731500
15201, 5958917
15401, 5729125
15601, 5951792
15801, 6028542
16001, 5964417
16201, 6584917
16401, 6143875
16601, 6265958
16801, 6468459
17001, 6377333
17201, 6640833
17401, 6881917
17601, 6583292
17801, 6871458
18001, 6694333
18201, 6960959
18401, 6901250
18601, 7022625
18801, 7343833
19001, 7131208
19201, 7332875
19401, 7275417
19601, 8048875
19801, 7417000
20001, 7689792
20201, 7578708
20401, 7821916
20601, 7913416
20801, 8004708
21001, 7972209
21201, 8040125
21401, 8912000
21601, 8437333
21801, 8203917
22001, 8321958
22201, 8312458
22401, 8427500
22601, 8509541
22801, 8702958
23001, 8547917
23201, 8992542
23401, 8762958
23601, 9079167
23801, 8851458
24001, 9235542
24201, 9059291
24401, 9321958
24601, 9297791
24801, 9678042
25001, 9716292
25201, 9535250
25401, 9771750
25601, 9587916
25801, 10053291
26001, 9958625
26201, 11057250
26401, 10344708
26601, 10778167
26801, 10785792
27001, 11371875
27201, 11623083
27401, 12534042
27601, 11509208
27801, 11793625
28001, 11936583
28201, 11946750
28401, 15574042
28601, 14238125
28801, 11772459
29001, 11581541
29201, 13918958
29401, 13184417
29601, 12667083
29801, 12272916
