Iteration, Sorteringstid
1,33875
201,4995042
401,12472542
601,21360500
801,30734791
1001,40998583
1201,54350333
1401,65938333
1601,78631666
1801,89694458
2001,103769458
2201,116269791
2401,127609125
2601,140617417
2801,154959459
3001,169280750
3201,184521709
3401,198894834
3601,211571292
3801,229017209
4001,241483292
4201,257891084
4401,273202208
4601,287800916
4801,308206708
5001,324338333
5201,340121667
5401,357029750
5601,372577291
5801,390381917
6001,406596541
6201,424277125
6401,443212083
6601,459665709
6801,473933250
7001,498811000
7201,513892709
7401,525744000
7601,542932542
7801,561042709
8001,586371625
8201,608650625
8401,622113834
8601,642326333
8801,658145500
9001,715562417
9201,704047334
9401,713793708
9601,728231333
9801,747365291
10001,781995958
10201,823617292
10401,850468750
10601,877376750
10801,900914625
11001,918811916
11201,949651208
11401,973559125
11601,988368792
11801,1012664084
12001,1044276667
12201,1048508875
12401,1057014167
12601,1089779333
12801,1098793834
13001,1117894375
13201,1141752083
13401,1161040000
13601,1186720708
13801,1238777500
14001,1239191750
14201,1254564250
14401,1279101166
14601,1317447375
14801,1342032166
15001,1353682334
15201,1386689834
15401,1400450708
15601,1414208125
15801,1435098000
16001,1435199917
16201,1463563000
16401,1482122209
16601,1502367417
16801,1528809041
17001,1535578958
17201,1575150500
17401,1580854125
17601,1644538792
17801,1663265000
18001,1699761209
18201,1747025541
18401,1748712500
18601,1770098750
18801,1755959834
19001,1795815792
19201,1813343375
19401,1856976875
19601,1865647500
19801,1922483208
20001,1926305667
20201,1963175250
20401,1979960458
20601,1975779583
20801,2025902708
21001,2006339792
21201,2103213250
21401,2053659000
21601,2121730875
21801,2130777750
22001,2149976500
22201,2186372791
22401,2183229916
22601,2228376417
22801,2272802750
23001,2278914750
23201,2294062958
23401,2304573958
23601,2324375875
23801,2336035292
24001,2342815166
24201,2378769625
24401,2382187209
24601,2419869875
24801,2458081750
25001,2465930875
25201,2530219084
25401,2499755458
25601,2516160541
25801,2558669291
26001,2625979292
26201,2610827209
26401,2692470042
26601,2701741625
26801,2710533917
27001,2676339166
27201,2722147916
27401,2791833458
27601,2763115875
27801,2836488458
28001,2848667458
28201,2892530875
28401,2890438250
28601,2896606666
28801,2928388375
29001,2949138375
29201,2955942916
29401,2968679458
29601,3019297792
29801,3047900375
