Iteration, Sorteringstid
1,22041
201,10427375
401,26752125
601,45291583
801,65418791
1001,92125875
1201,146810208
1401,232918250
1601,281553125
1801,365045833
2001,370669459
2201,443122375
2401,368845292
2601,312562917
2801,330938292
3001,376780167
3201,410508375
3401,705153209
3601,450157833
3801,436162750
4001,467513416
4201,477028667
4401,463415333
4601,524168750
4801,561927750
5001,628363084
5201,579596041
5401,628803042
5601,862206250
5801,822084042
6001,786325667
6201,732030583
6401,806538584
6601,793244958
6801,922047666
7001,950578334
7201,1020850875
7401,817732625
7601,879915042
7801,1146152042
8001,1118955417
8201,1008041250
8401,979703708
8601,1006548500
8801,963430667
9001,1226951458
9201,1324154000
9401,1302662792
9601,1062472583
9801,1090231958
10001,1238022417
10201,1336183708
10401,1600420209
10601,1624793625
10801,1816157125
11001,1614732833
11201,1672489041
11401,1485416500
11601,1894801208
11801,1851100375
12001,1704605166
12201,1635733459
12401,1932801500
12601,1952967417
12801,2208419625
13001,2013111625
13201,1859185875
13401,2279173709
13601,2006837500
13801,2117273625
14001,1866849083
14201,2164094125
14401,2507413500
14601,2192736333
14801,2331769292
15001,2257148000
15201,1999338542
15401,2282616417
15601,2561166750
15801,2519919000
16001,2564769583
16201,2233661417
16401,2152513708
16601,2288243583
16801,2631367292
17001,2605069125
17201,2415214083
17401,2617890333
17601,2514533292
17801,2768162042
18001,2711719459
18201,2435394292
18401,2561948292
18601,2607871875
18801,2625871000
19001,2564014125
19201,2625080667
19401,2735220917
19601,2818322500
19801,3313615333
20001,7208171500
20201,2817510250
20401,2826141500
20601,2804654875
20801,2840700500
21001,3042859292
21201,3020040125
21401,3042461333
21601,3019112792
21801,4190672958
22001,3781431583
22201,3940503333
22401,4297835459
22601,3946321791
22801,4129759875
23001,4279957375
23201,3848763291
23401,3657129500
23601,3740724708
23801,3842016792
24001,4168889917
24201,3746473292
24401,4062407125
24601,3833171875
24801,4024371250
25001,4120997916
25201,4056367583
25401,4121935625
25601,5081656459
25801,4032741292
26001,4367156791
26201,4321539125
26401,4580665500
26601,4235578500
26801,4443192459
27001,4312112333
27201,4401942125
27401,4597052959
27601,4800851583
27801,4571391125
28001,4626356916
28201,4963921083
28401,4792548167
28601,4908453208
28801,4371057875
29001,4814649583
29201,4398715708
29401,4368380875
29601,4787028542
29801,5073116250
